荒诞	absurd	不条理な
微小	minute	微小な
高杠杆	highly leveraged	高レバレッジの
庞大	vast	巨大な
空白	blank	空白の
低风险	low-risk	低リスクの
拥挤	crowded	混み合った
稀薄	thin	希薄な
通胀性	inflationary	インフレ的な
浓郁	intense	濃厚な
甜蜜	sweet	甘い
紧缩性	contractionary	緊縮的な
苦涩	bitter	苦い
清醒	lucid	目の覚めた
投机性	speculative	投機的な
困倦	drowsy	眠たげな
诚实	honest	正直な
审慎	prudent	思慮深い
虚构	fictional	架空の
偶然	accidental	偶然の
信用化	credit-based	信用化された
必然	inevitable	必然的な
短暂	fleeting	束の間の
金融化	financialised	金融化された
永恒	eternal	永遠の
公共	public	公共の
工业化	industrialised	工業化された
私人	private	私的な
集体	collective	集団的な
标准化	standardised	標準化された
自治	self-governing	自治的な
集中	concentrated	集中した
模块化	modular	モジュール化された
合法	legal	合法的な
非法	illegal	違法な
自动化	automated	自動化された
正当	legitimate	正当な
失当	improper	不適切な
耐磨	wear-resistant	摩耗に強い
公平	fair	公平な
偏颇	biased	偏った
易燃	flammable	燃えやすい
中立	neutral	中立的な
激进	radical	急進的な
精密	intricate	精密な
保守	conservative	保守的な
进步	progressive	進歩的な
批量化	mass-produced	量産された
多元	plural	多元的な
单一	singular	単一の
重型	heavy-duty	重量級の
普遍	universal	普遍的な
特殊	particular	特殊な
乡土	local	郷土的な
主观	subjective	主観的な
客观	objective	客観的な
神圣	sacred	神聖な
先验	a priori	先験的な
经验性	empirical	経験的な
世俗	secular	世俗的な
辩证	dialectical	弁証法的な
形而上	metaphysical	形而上的な
历史性	historical	歴史的な
存在主义式	existentialist	実存主義的な
虚无主义式	nihilistic	虚無主義的な
军事化	militarised	軍事化された
自我指涉	self-referential	自己言及的な
不可知	unknowable	不可知の
纪实	documentary	記録的な
包容	inclusive	包容力のある
排他	exclusive	排他的な
和谐	harmonious	調和した
自洽	self-consistent	自己整合的な
矛盾	contradictory	矛盾した
超现实	surreal	超現実的な
自由	free	自由な
平等	equal	平等な
社会性	social	社会的な
